Day fraction since midnight on 12/21/2020	7 kPa (cm)	pH probe (pH)	Q sed difference ()	Raw water pump ()	settled bulk pump ()	Clay pump Run ()	PACl pump Run ()	Floc hopper pump  ()	Q settled bulk pump (mL/s)	Q Raw (mL/s)	Q removed (mL/s)	Turb settled w/ blanket ()	Turb settled w/out blanket  ()	PC1 & 2 pump ()	ChemTrac Buffer ()	PC 1.2 bin1 N ()	PC 1.2 bin2 N ()	PC 1.2 bin3 N ()	PC 1.2 bin4 N ()	PC 1.2 bin5 N ()	PC 1.2 bin6 N ()	PC 1.2 Cell  ()	PC 1.2 Laser ()	PC 1.2 Total N ()	PC 1.3 bin1 N ()	PC 1.3 bin2 N ()	PC 1.3 bin3 N ()	PC 1.3 bin4 N ()	PC 1.3 bin5 N ()	PC 1.3 bin6 N ()	PC 1.3 Cell ()	PC 1.3 Laser ()	PC 1.3 Total N ()	UV 1.1 Compensated UVA ()	UV 1.1 UVA ()	UV 1.1 UVT ()	Turb influent  ()	Scale ()	PC1 & 2 pump #2 ()
0.00256745	35.86633301	6.99601841	1.148	71.30097087	58.37931034	32.23880597	21.24223602	91.39896373	3.386	6.12	1.514	0.27787578	2.59261608	0.85714286	10737.99875	0	0	0	0	0	0	44	101	0	919	383	227	25	1	3	98	100	1561	0.02790244	0.03149568	93.03599548	100.9195175	518.6	0.83181818
0.00262531	35.95295715	6.99608135	1.148	71.30097087	58.37931034	32.23880597	21.24223602	91.39896373	3.386	6.12	1.514	0.27787578	2.59261608	0.85714286	10742.79782	0	0	0	0	0	0	44	101	0	919	383	227	25	1	3	98	100	1561	0.02791478	0.03165793	93.00124359	100.8469315	518.6	0.83181818
0.00268319	35.89085007	6.99598408	1.148	71.30097087	58.37931034	32.23880597	21.24223602	91.39896373	3.386	6.12	1.514	0.29618847	2.57145214	0.85714286	10750.68299	0	0	0	0	0	0	44	101	0	948	388	240	27	2	4	98	100	1611	0.02759767	0.03086287	93.17163849	100.8369	518.5	0.83181818
0.00274105	35.91211319	6.99603081	1.148	71.30097087	58.37931034	32.23880597	21.24223602	91.39896373	3.386	6.12	1.514	0.29618847	2.57145214	0.85714286	10755.09642	0	0	0	0	0	0	44	101	0	948	388	240	27	2	4	98	100	1611	0.02759767	0.03086287	93.17163849	100.8962021	518.5	0.83181818
0.00279893	35.883255	6.99593019	1.148	71.30097087	58.37931034	32.23880597	21.24223602	91.39896373	3.386	6.12	1.514	0.26042354	3.05279374	0.85714286	10759.32183	0	0	0	0	0	0	44	101	0	948	388	240	27	2	4	98	100	1611	0.02874567	0.03174586	92.98242187	100.9169235	518.5	0.83181818
0.00285679	35.85316467	6.99607801	1.148	71.30097087	58.37931034	32.23880597	21.24223602	91.39896373	3.386	6.12	1.514	0.26042354	3.05279374	0.85714286	10763.54325	0	0	0	0	0	0	44	101	0	948	388	240	27	2	4	98	100	1611	0.02874567	0.03174586	92.98242187	100.9137039	518.4	0.83181818
0.00291467	35.90575027	6.99610376	1.148	71.30097087	58.37931034	32.23880597	21.24223602	91.39896373	3.386	6.12	1.514	0.2787782	2.77330017	0.85714286	10768.72423	0	0	0	0	0	0	44	101	0	948	388	240	27	2	4	98	100	1611	0.02783797	0.03083624	93.17735291	100.9656982	518.4	0.83181818
0.00297253	35.88184357	6.99602699	1.148	71.30097087	58.37931034	32.23880597	21.24223602	91.39896373	3.386	6.12	1.514	0.2787782	2.77330017	0.85714286	10772.19811	0	0	0	0	0	0	44	101	0	974	386	223	27	1	3	98	100	1615	0.02783797	0.03083624	93.17735291	101.0121384	518.4	0.83181818
0.00303041	35.92235565	6.99588776	1.148	71.30097087	58.37931034	32.23880597	21.24223602	91.39896373	3.386	6.12	1.514	0.29041788	2.64710426	0.85714286	10776.40353	0	0	0	0	0	0	44	101	0	974	386	223	27	1	3	98	100	1615	0.02783797	0.03083624	93.17735291	101.0815277	518.3	0.83181818
0.00308827	35.88527298	6.99626923	1.148	71.30097087	58.37931034	32.23880597	21.24223602	91.39896373	3.386	6.12	1.514	0.29041788	2.64710426	0.85714286	10785.05623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35986519	0	-3.69687E+19	0	0	2.90254E+16	0	101.1232376	518.3	0.83181818
