Day fraction since midnight on 2/21/2021,2-3 μm,3-5 μm,5-9 μm,9-17 μm,17-33 μm,33-65 μm,Turb settled w/ blanket ()
1.085076894,202.7676768,94.55555556,70.27272727,14.65656566,1.272727273,1.363636364,0.474353287
1.090864034,202.6326531,92.57142857,69.90816327,15.28571429,2.959183673,1.653061224,0.31629382
1.096651168,193.628866,90.43298969,66.02061856,12.62886598,1.010309278,1.111111111,0.257779832
1.102438296,188.16,86.37,63.27,11.69,1.09,1.25,0.255424583
1.108225421,179.73,83.13,61,11.1,0.94,1.05,0.2464882
1.114012541,178.64,83.12,60.56,10.67,1.04,1.08,0.241829677
1.119799656,172.0909091,80.48484848,58.11111111,10.15151515,0.858585859,1,0.23437154
1.125586767,170.02,78.93,56.55,9.54,0.95,1,0.230860103
1.131373873,164.22,75.37,54.44,8.97,0.9,0.94,0.213964879
1.137160977,160.6565657,74.33333333,53.06060606,8.595959596,0.818181818,1,0.213499967
1.142948076,157.0707071,72.2020202,51.71717172,8.474747475,0.97979798,1.050505051,0.216624157
1.148735175,153.6464647,70.52525263,48.45454556,7.94949505,1.03030303,0.98989899,0.230772656
1.154522268,151.33,69.01,48.76,7.77,0.91,1,0.207657836
1.160309362,147.5510204,68.98979592,48.06122449,7.408163265,0.734693878,1.04040404,0.214464658
1.166096448,147.02,67.6,46.71,7.03,0.75,0.92,0.237931364
1.171883535,142.41,66.79,44.8,6.82,0.78,0.96,0.199571916
1.177670618,142.3333333,65.03030303,44.56565657,6.787878788,0.808080808,0.949494949,0.193126507
1.183457703,140.7979798,64.29292929,43.58585859,6.414141414,0.575757576,0.9,0.195020823
1.189244781,144.19,65.01,43.07,6.67,0.68,1.1,0.186032297
1.19503186,140.07,63.41,42.59,6.39,0.75,0.9,0.186712248
1.200818935,137.83,61.71,41.21,6.13,0.61,0.78,0.181454885
1.206606011,139.1616162,61.90909091,40.86868687,5.949494949,0.717171717,0.9,0.178014585
1.212393082,141.87,60.53,40.22,6.35,0.83,1.05,0.18393443
1.218180153,143.01,59.29,38.28,6.25,0.93,0.91,0.191752332
1.223967223,139.7272727,59.96969697,37.74489796,5.454545455,0.74,1.050505051,0.196450439
1.229754293,140.46,58.3,37.85,5.78,0.95,0.92,0.183672984
1.235541361,138.4600001,58.5800001,38.2100001,5.6700001,0.9,1.0600001,0.185138537
1.241328426,140.95,59.59,38.56,6.2,1.17,1.16,0.198278711
1.247115491,140.4545455,59.25252525,39.24242424,5.919191919,1.04040404,1.27,0.191925152
1.252902555,141.77,59.87,38.73,5.45,0.88,1.05,0.183063586
1.25868962,146.91,62.4,39.7,5.64,0.85,1.05,0.187700421
1.264476682,148.35,63.94,41.14,6.04,0.94,1.2,0.195576104
1.270263745,152.6767677,64.09090909,41.68686869,6.090909091,1,1.151515152,0.216276655
1.276050801,152.26,64.58,41.55,6.01,0.96,1.05,0.194224283
1.281837862,152.82,66.55,43.8,7.02,1.27,1.48,0.198631423
1.28762492,159.1414141,69.77777778,46.05050505,7.333333333,1.363636364,1.39,0.204182439
1.293411979,158.01,69.86,45.08,6.24,0.84,1.19,0.191267311
1.299199033,164.2244898,73.09183673,47.7755102,6.632653061,0.908163265,1.161616162,0.186427841
1.304986095,176.010101,80.92929293,51.93939394,7.01010101,0.8,1.161616162,0.188503604
1.310773353,189.91,87.37,56.49,7.75,0.95,1.04,0.190310513
1.316560646,198.7474747,91.09090909,60.15151515,9.696969697,2.333333333,1.353535354,0.211872198
1.322347923,216.04,103.72,75.51,8.57,1.74,22.51,0.459173764
1.328135186,198.1919192,91.61616162,58.7979798,7.606060606,0.89,24,0.201165461
1.333922435,191.78,88.77,56.56,7.23,0.79,24,0.184435144
1.339709678,178.77,81.77,52.75,6.84,0.9,17.51,0.192607701
1.345496933,174.41,79.29,50.53,6.58,0.85,1.17,0.192963039
1.35128418,164.4646465,74.07070707,48.03030303,6.232323232,0.848484848,1.2,0.186702804
1.357071413,171.1010101,78.23232323,51.27272727,7.393939394,1.252525253,1.63,0.2182095
1.362858637,177.34,80.21,52.86,7.57,1.17,1.34,0.206557299
1.368645847,176.6161616,81.83838384,53.32323232,7.767676768,1.191919192,1.676767677,0.204790817
1.374433051,183.81,84.71,54.5,7.4,1.15,1.47,0.219671379
1.380220245,187.9191919,85.33333333,55.98989899,7.484848485,1,1.4,0.208009178
1.386007458,191.88,87.25,57.45,8.16,1.15,1.35,0.204187478
1.391794669,194.34,87.39,56.04,7.65,1.07,1.26,0.206784788
1.397581868,188.91,85.44,55.09,7.36,1.12,1.36,0.190169183
1.40336906,188.62,83.94,53.68,7.35,1.12,1.33,0.198342498
1.409156243,184.4545455,84.14141414,54.53535354,7.464646465,0.97979798,1.58,0.201986275
1.414943418,186.4242424,84.24242424,54.04040404,7.080808081,1.060606061,1.515151515,0.199279572
1.420730585,185.94,84.89,54.71,7.48,1.1,1.75,0.214091953
1.426517741,191.0816327,88.83673469,57.40816327,7.295918367,1.040816327,1.535353535,0.195029062
1.432304894,191.6326531,90.78571429,59.17346939,8.142857143,1.112244898,1.46,0.197114954
1.43809204,190.57,91.1,58.59,7.68,1.16,1.41,0.202426991
1.44387918,185.54,88.37,57.84,7.61,1.1,1.38,0.199724411
1.449666314,184.6,88.86,57.6,7.82,1.1,1.72,0.211281221
1.455453441,183.3535354,88.60606061,57.48484848,7.393939394,1.141414141,1.63,0.211971063
1.461240566,180.91,87.79,57.5,7.31,1.11,1.66,0.206616282
1.467027687,179.9494949,86,55.09090909,7.272727273,1,1.434343434,0.193233538
1.472814798,176.19,85.58,55.07,7.31,1,1.43,0.19535087
1.478601908,178.5408163,86.86734694,56.16326531,7.224489796,1,1.44,0.184717292
1.484389015,185.628866,91.80412371,59.75257732,7.886597938,1.144329897,1.432989691,0.193137374
1.490176117,195.7373737,96.22222222,62.87878788,8.838383838,1.313131313,1.64,0.218577112
1.495963216,198.95,97.52,63.84,8.27,1.21,1.72,0.204836252
1.501750313,208.47,103.94,71.63,14.16,1.35,2.18,0.370464429
1.507537405,209.48,103.21,66.39,8.87,1.68,2.19,0.203377861
1.513324494,213.08,104.65,66.77,9.05,1.2,1.86,0.211518476
1.519111583,216.03,104.81,65.33,8.29,1.22,1.82,0.208225774
1.524898667,214.44,105.63,67.17,8.28,1.11,1.77,0.209478246
1.53068575,215.46,104.92,67.86,8.56,1.18,1.66,0.202733342
1.536472829,212.13,103.98,65.98,8.41,1.09,1.67,0.206700165
1.542259907,209.6464646,102.6161616,66.13131313,8.757575758,1.161616162,1.444444444,0.197622979
1.548046982,211.8673469,104.8163265,68.19387755,10.48979592,2.632653061,2.070707071,0.223832142
1.553834057,215.8585859,105.7575758,67.33333333,8.898989899,1.585858586,2.050505051,0.207704988
1.559621131,215.2323232,105.989899,67.51515152,8.747474747,1.272727273,1.696969697,0.200247421
